document_id,title,short_title,document_type,legal_weight,issuing_authority,status,assigned_to,publication_date,effective_date,notes,filename,pages,sampled_pages,text_coverage,has_text
jrba_2025,"Joint Revenue Board of Nigeria (Establishment) Act, 2025",JRBA,act,statute,National Assembly of the Federal Republic of Nigeria,in_force,abdul,2025-06-26,2025-06-26,"Act No. 6 of 2025. Passed 11 Jun 2025, assented 26 Jun 2025. No commencement clause, so in force from assent.","Approved Copy to Print Joint Revenue Board of Nigeria (Establishment) Act, 2025 B.pdf",36,15,1.0,True
ntaa_2025,"Nigeria Tax Administration Act, 2025",NTAA,act,statute,National Assembly of the Federal Republic of Nigeria,in_force,team,2025-06-26,2025-06-26,Act No. 5 of 2025. No commencement clause found on scan — owner should verify effective date. Processed by other team members.,"Approved Copy to Print NIGERIA TAX ADMINISTRATION ACT, 2025.pdf",93,15,1.0,True
nrsea_2025,"Nigeria Revenue Service (Establishment) Act, 2025",NRSEA,act,statute,National Assembly of the Federal Republic of Nigeria,in_force,abdul,2025-06-26,2025-06-26,"Act No. 4 of 2025. Passed 11 Jun 2025, assented 26 Jun 2025. No commencement clause, so in force from assent.","Approved Copy to Print. Nigeria Revenue Service (Establishment) Act, 2025-1.pdf",30,15,1.0,True
wht_regulations_2024,"Deduction of Tax at Source (Withholding) Regulations, 2024",WHT Regulations,regulation,subsidiary_legislation,Federal Ministry of Finance,in_force,team,2024-10-02,2024-09-30,S.I. No. 34 of 2024.,Deduction of Tax at Source (Withholding) Regulations 2024_Gazetted.pdf,14,14,0.86,True
nta_2025,"Nigeria Tax Act, 2025",NTA,act,statute,National Assembly of the Federal Republic of Nigeria,in_force,team,2025-06-26,2026-01-01,"Act No. 7 of 2025. Commencement clause: 1st January, 2026. Processed by other team members.",Final Approved Copy for Print  NIGERIA TAX ACT 2025.pdf,215,15,1.0,True
circular_2026_01,NRS Information Circular No. 2026/01: Ascertainment of Income Tax of Companies and Development Levy,Circular 2026/01,circular,administrative_guidance,Nigeria Revenue Service,in_force,abdul,2026-06-29,2026-06-29,"Downloaded from www.nrs.gov.ng. Administrative guidance, not law.",guidance\circular_2026_01_companies_income_tax_development_levy.pdf,11,11,1.0,True
circular_2026_03,NRS Information Circular No. 2026/03: Clarification on Ascertainment of Chargeable Gains,Circular 2026/03,circular,administrative_guidance,Nigeria Revenue Service,in_force,abdul,2026-06-29,2026-06-29,"Downloaded from www.nrs.gov.ng. Administrative guidance, not law. Revised version (30/05/2026 revision marker in source filename).",guidance\circular_2026_03_chargeable_gains.pdf,12,12,1.0,True
circular_2026_04,NRS Information Circular No. 2026/04: Clarification on Dutiable Instruments,Circular 2026/04,circular,administrative_guidance,Nigeria Revenue Service,in_force,abdul,2026-06-29,2026-06-29,"Downloaded from www.nrs.gov.ng. Administrative guidance, not law. Replaces FIRS Information Circular No. 2021/12.",guidance\circular_2026_04_dutiable_instruments.pdf,11,11,1.0,True
circular_2026_05,NRS Information Circular No. 2026/05: Clarification on the Changes in the Administration of the Value Added Tax,Circular 2026/05,circular,administrative_guidance,Nigeria Revenue Service,in_force,abdul,2026-06-29,2026-06-29,"Downloaded from www.nrs.gov.ng. Administrative guidance, not law.",guidance\circular_2026_05_vat_administration.pdf,8,8,1.0,True
circular_2026_10,NRS Information Circular No. 2026/10: Taxation of Non-Resident Persons Engaged in Shipping and Air Transport,Circular 2026/10,circular,administrative_guidance,Nigeria Revenue Service,in_force,abdul,2026-06-29,2026-06-29,"Downloaded from www.nrs.gov.ng. Administrative guidance, not law.",guidance\circular_2026_10_shipping_air_transport.pdf,20,15,1.0,True
circular_2026_11,NRS Information Circular No. 2026/11: Claim of Tax Treaties Benefits and Unilateral Credit Relief in Nigeria,Circular 2026/11,circular,administrative_guidance,Nigeria Revenue Service,in_force,abdul,2026-06-29,2026-06-29,"Downloaded from www.nrs.gov.ng. Administrative guidance, not law.",guidance\circular_2026_11_tax_treaty_benefits.pdf,24,15,1.0,True
circular_2026_14,NRS Information Circular No. 2026/14: Guidelines for Estimated Returns by Companies Engaged in Midstream Liquefied Natural Gas Activities,Circular 2026/14,circular,administrative_guidance,Nigeria Revenue Service,in_force,abdul,2026-06-29,2026-06-29,"Downloaded from www.nrs.gov.ng. Administrative guidance, not law. Issued as Guidelines under Information Circular numbering.",guidance\circular_2026_14_lng_estimated_returns.pdf,6,6,1.0,True
circular_2026_17,NRS Information Circular No. 2026/17: Guidelines on Tax Refund,Circular 2026/17,circular,administrative_guidance,Nigeria Revenue Service,in_force,abdul,2026-06-29,2026-06-29,"Downloaded from www.nrs.gov.ng. Administrative guidance, not law. Issued as Guidelines under Information Circular numbering.",guidance\circular_2026_17_tax_refund_guidelines.pdf,11,11,1.0,True
circular_2026_18,NRS Information Circular No. 2026/18: Guidelines on the Withholding of Value Added Tax,Circular 2026/18,circular,administrative_guidance,Nigeria Revenue Service,in_force,abdul,2026-06-29,2026-06-29,"Downloaded from www.nrs.gov.ng. Administrative guidance, not law. Issued as Guidelines under Information Circular numbering.",guidance\circular_2026_18_vat_withholding_guidelines.pdf,4,4,1.0,True
circular_2026_21,NRS Information Circular No. 2026/21: Guidelines on the Taxation of Virtual Assets,Circular 2026/21,circular,administrative_guidance,Nigeria Revenue Service,in_force,abdul,2026-07-31,2026-07-31,"Downloaded from www.nrs.gov.ng. Administrative guidance, not law. Issued as Guidelines under Information Circular numbering.",guidance\circular_2026_21_virtual_assets_guidelines.pdf,28,15,1.0,True
repealed_acts_compilation,E-Book of Tax and Related Laws (Finance Act 2020 edition),Repealed Acts,reference,reference_compilation,Federal Inland Revenue Service (defunct),repealed,team,,,"Compilation of pre-reform tax laws (CGT, CITA, PITA, VAT, PPT, Stamp Duties). Kept as negative/reference dataset only.",Repealed acts.pdf,610,15,1.0,True
nrs_news_106,VAT on Banking Fees Was Not Introduced by the Nigeria Tax Act,,news,official_communication,Nigeria Revenue Service,in_force,abdul,2026-02-17,2026-02-17,"From NRS website API, retrieved 2026-08-25. Item id 106. IMAGE-ONLY: text lives in a poster image (see data/raw/guidance/images/); needs OCR decision.",guidance\nrs_news_releases_snapshot.json,1,,,False
nrs_news_131,Clarification: The Nigeria Tax Act 2025 has Commenced and Does NOT Impose a 25% Tax on Building Materials or Funds,,news,official_communication,Nigeria Revenue Service,in_force,abdul,2026-04-21,2026-04-21,"From NRS website API, retrieved 2026-08-25. Item id 131. IMAGE-ONLY: text lives in a poster image (see data/raw/guidance/images/); needs OCR decision.",guidance\nrs_news_releases_snapshot.json,1,,,False
